Code;Description;Transaction Category Code;MCC Category
"3757";Canyon Ranch;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3758";Kahala Mandarion Oriental Hotel;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3759";The Orchid at Mauna Lani;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3760";Halekulani Hotel/Waikiki Parc;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3761";Primadonna Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3762";Whisky Pete’s Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3763";Chateau Elan Winery and Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3764";Beau Rivage Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3765";Bellagio;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3766";Fremont Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3767";Main Street Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3768";Silver Star Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3769";Stratosphere Hotel and Casino;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3770";SpringHill Suites;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3771";Caesar’s Resort;Hotel/Motel;Lodging — Hotels, Motels, Resorts
"3772";Nemacolin Woodlands;Hotel/Motel;Lodging — Hotels, Motels, Resorts
